Equal Coin Sample test 												flag
----------------------------------------------------------------------------------
	total Coins 	1rs Coins	2rs coins	total amount	1rs 	2rs 	amount 
----------------------------------------------------------------------------------
	1				0			1			2				even 	odd 	even		no
					1			0			1				odd 	even 	odd			no
----------------------------------------------------------------------------------
	2				0			2			4				even 	even 	even		yes
					1			1			3				odd 	odd 	odd			no
					2			0			2				even 	even 	even		yes
----------------------------------------------------------------------------------	
	3				0			3			6				even 	odd 	even		no
					1			2			5				odd 	even 	odd			no
					2			1			4				even 	odd 	even		yes
					3			0			3				odd 	even 	odd			no
----------------------------------------------------------------------------------
	4				0			4			8				even 	even 	even		yes
					1			3			7				odd 	odd 	odd			no
					2			2			6				even 	even 	even		yes
					3			1			5				odd 	odd 	odd			no
					4			0			4				even 	even 	even		yes
----------------------------------------------------------------------------------
	5				0			5			10				even 	odd 	even		no
					1			4			9				odd 	even 	odd			no
					2			3			8				even 	odd 	even		yes
					3			2			7				odd 	even 	odd			no
					4			1			6				even 	odd 	even		yes
					5			0			5				odd 	even 	odd			no
----------------------------------------------------------------------------------
	6				0			6			12				even 	even 	even		yes
					1			5			11				odd 	odd 	odd			no
					2			4			10				even 	even 	even		yes
					3			3			9				odd 	odd 	odd			no
					4			2			8				even 	even 	even		yes
					5			1			7				odd 	odd 	odd			no
					6			0			6				even 	even 	even		yes
----------------------------------------------------------------------------------
	7				0			7			14				even 	odd 	even		no
					1			6			13				odd 	even 	odd			no
					2			5			12				even 	odd 	even		yes
					3			4			11				odd 	even 	odd			no
					4			3			10				even 	odd 	even		yes
					5			2			9				odd 	even 	odd			no
					6			1			8				even 	odd 	even		yes
					7			0			7				odd 	even 	odd			no
----------------------------------------------------------------------------------
	8				0			8			16				even 	even 	even		yes
					1			7			15				odd 	odd 	odd			no
					2			6			14				even 	even 	even		yes
					3			5			13				odd 	odd 	odd			
					4			4			12				even 	even 	even
					5			3			11				odd 	odd 	odd
					6			2			10				even 	even 	even
					7			1			9				odd 	odd 	odd
					8			0			8				even 	even 	even
----------------------------------------------------------------------------------

	9				0			9			18				even 	odd 	even
					1			8			17				odd 	even 	odd
					2			7			16				even 	odd 	even
					3			6			15				odd 	even 	odd
					4			5			14				even 	odd 	even
					5			4			13				odd 	even 	odd
					6			3			12				even 	odd 	even
					7			2			11				odd 	even 	odd
					8			1			10				even 	odd 	even
					9			0			9				odd 	even 	odd
----------------------------------------------------------------------------------

	10				0			10			20				even 	even 	even
					1			9			19				odd 	odd 	odd
					2			8			18				even 	even 	even
					3			7			17				odd 	odd 	odd
					4			6			16				even 	even 	even
					5			5			15				odd 	odd 	odd
					6			4			14				even 	even 	even
					7			3			13				odd 	odd 	odd
					8			2			12				even 	even 	even
					9			1			11				odd 	odd 	odd
					10			0			10				even 	even 	even
----------------------------------------------------------------------------------

	11				0			11			22				even 	odd 	even
					1			10			21				odd 	even 	odd
					2			9			20				even 	odd 	even
					3			8			19				odd 	even 	odd
					4			7			18				even 	odd 	even
					5			6			17				odd 	even 	odd
					6			5			16				even 	odd 	even
					7			4			15				odd 	even 	odd
					8			3			14				even 	odd 	even
					9			2			13				odd 	even 	odd
					10			1			12				even 	odd 	even
					11			0			11				odd 	even 	odd
----------------------------------------------------------------------------------

	12				0			12			24				even 	even 	even
					1			11			23				odd 	odd 	odd
					2			10			22				even 	even 	even
					3			9			21				odd 	odd 	odd
					4			8			20				even 	even 	even
					5			7			19				odd 	odd 	odd
					6			6			18				even 	even 	even
					7			5			17				odd 	odd 	odd
					8			4			16				even 	even 	even
					9			3			15				odd 	odd 	odd
					10			2			14				even 	even 	even
					11			1			13				odd 	odd 	odd
					12			0			12				even 	even 	even
----------------------------------------------------------------------------------

	13				0			13			26				even 	odd 	even
					1			12			25				odd 	even 	odd
